epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,901.22,0.66181,0.91948,1.15176,0.72092,0.77856,0.84618,0.66014,0.89442,0.90997,1.37074,0.0069904,0.0069904,0.0069904
154,29.7605,0.6161,0.81377,1.12027,0.74605,0.76144,0.85307,0.67281,0.89606,0.90955,1.37776,0.0069706,0.0069706,0.0069706
155,59.1541,0.62996,0.84521,1.13009,0.80516,0.70935,0.84815,0.66816,0.90041,0.92785,1.3731,0.0069508,0.0069508,0.0069508
156,88.3387,0.63543,0.84245,1.13122,0.72451,0.76822,0.8325,0.65387,0.89157,0.91312,1.36785,0.006931,0.006931,0.006931
157,117.24,0.64213,0.86371,1.13743,0.76937,0.74869,0.8404,0.66297,0.89251,0.90085,1.36721,0.0069112,0.0069112,0.0069112
158,146.366,0.61805,0.84747,1.12899,0.77319,0.74658,0.84606,0.66823,0.89399,0.93233,1.36614,0.0068914,0.0068914,0.0068914
159,175.811,0.63272,0.8526,1.13479,0.74665,0.76981,0.83738,0.66188,0.89401,0.92459,1.37019,0.0068716,0.0068716,0.0068716
160,204.981,0.62677,0.83222,1.12975,0.78208,0.72145,0.83711,0.6655,0.89857,0.93962,1.37553,0.0068518,0.0068518,0.0068518
161,234.231,0.62581,0.8485,1.13734,0.72521,0.78722,0.84026,0.65811,0.90343,0.95101,1.38763,0.006832,0.006832,0.006832
162,263.266,0.62974,0.84653,1.12838,0.76778,0.74375,0.84177,0.66444,0.90468,0.95042,1.38667,0.0068122,0.0068122,0.0068122
163,292.312,0.62197,0.83761,1.13428,0.78687,0.72343,0.8468,0.67182,0.90326,0.93553,1.38514,0.0067924,0.0067924,0.0067924
164,321.382,0.6294,0.86903,1.131,0.77396,0.75935,0.84506,0.6656,0.9108,0.93321,1.388,0.0067726,0.0067726,0.0067726
165,350.742,0.62085,0.83401,1.13157,0.76148,0.76094,0.84291,0.65925,0.90888,0.94014,1.38848,0.0067528,0.0067528,0.0067528
166,380.274,0.62826,0.84116,1.12883,0.76069,0.74893,0.85065,0.6623,0.91411,0.91733,1.39874,0.006733,0.006733,0.006733
167,409.485,0.62265,0.82064,1.12894,0.76964,0.751,0.84803,0.66553,0.90827,0.92184,1.39663,0.0067132,0.0067132,0.0067132
168,438.605,0.60708,0.81491,1.12194,0.76235,0.73544,0.85394,0.66883,0.89885,0.93252,1.39139,0.0066934,0.0066934,0.0066934
169,467.953,0.6138,0.80853,1.12328,0.71967,0.78768,0.84692,0.66767,0.89837,0.92992,1.39144,0.0066736,0.0066736,0.0066736
170,497.207,0.62279,0.81677,1.13273,0.68926,0.81643,0.84634,0.66538,0.89439,0.94225,1.37821,0.0066538,0.0066538,0.0066538
171,526.292,0.62839,0.82517,1.13199,0.73481,0.75863,0.84094,0.65929,0.89568,0.95032,1.37921,0.006634,0.006634,0.006634
172,555.235,0.61415,0.80841,1.11749,0.76247,0.74501,0.85038,0.66559,0.89727,0.95651,1.38491,0.0066142,0.0066142,0.0066142
173,584.48,0.61773,0.8101,1.12748,0.75207,0.75678,0.85221,0.66713,0.90139,0.96058,1.38752,0.0065944,0.0065944,0.0065944
174,613.625,0.62707,0.81691,1.12554,0.72363,0.77573,0.85256,0.66544,0.90246,0.95977,1.38907,0.0065746,0.0065746,0.0065746
175,642.56,0.61916,0.81886,1.12427,0.71362,0.79339,0.84534,0.65992,0.89838,0.94929,1.38129,0.0065548,0.0065548,0.0065548
176,671.498,0.61271,0.8001,1.11727,0.70697,0.79137,0.84728,0.66452,0.90251,0.94909,1.38573,0.006535,0.006535,0.006535
177,700.678,0.61577,0.82741,1.12355,0.70374,0.79519,0.84407,0.66432,0.90247,0.9508,1.38899,0.0065152,0.0065152,0.0065152
178,729.981,0.61591,0.81184,1.12481,0.73787,0.74847,0.84327,0.66307,0.9016,0.96251,1.3887,0.0064954,0.0064954,0.0064954
179,759.455,0.61829,0.80931,1.126,0.75325,0.72249,0.83277,0.65416,0.90208,0.96516,1.38542,0.0064756,0.0064756,0.0064756
180,788.646,0.61146,0.80173,1.12208,0.74042,0.73739,0.82462,0.64474,0.90318,0.97955,1.3884,0.0064558,0.0064558,0.0064558
181,817.691,0.61444,0.81183,1.12546,0.70916,0.75727,0.83601,0.65395,0.90438,0.98961,1.39006,0.006436,0.006436,0.006436
